idCita,servicio,fecha,hora,duracion,precio,idCliente,estado_de_la_cita
1,Corte de pelo,2024-07-21,16:00,60,50,201,Cancelada
2,Spa,2024-08-16,14:00,60,230,117,Cancelada
3,Limpieza dental,2024-10-25,13:00,45,80,118,Completada
4,Corte de pelo,2024-10-18,12:00,60,50,148,Completada
5,Corte de pelo,2024-10-27,15:00,60,50,209,Completada
6,Corte de pelo,2024-07-31,12:00,60,50,204,Cancelada
7,Tratamiento de sarna,2024-11-09,10:00,45,190,134,Cancelada
8,Spa,2024-09-29,10:00,60,230,182,Completada
9,Spa,2024-09-16,14:00,60,230,138,Cancelada
10,Baño para perros,2024-11-03,10:00,30,30,141,Completada
11,Corte de pelo,2024-07-19,10:00,60,50,157,Cancelada
12,Corte de uñas,2024-08-03,16:00,15,15,183,Cancelada
13,Baño para perros,2024-09-15,11:00,30,30,121,Completada
14,Spa,2024-08-10,12:00,60,230,119,Completada
15,Spa,2024-08-26,09:00,60,230,180,Cancelada
16,Tratamiento de sarna,2024-09-11,16:00,45,190,114,Completada
17,Spa,2024-10-24,15:00,60,230,136,Cancelada
18,Corte de uñas,2024-10-24,10:00,15,15,212,Completada
19,Corte de pelo,2024-09-06,16:00,60,50,159,Completada
20,Baño para perros,2024-09-17,16:00,30,30,117,Cancelada
21,Baño para perros,2024-09-05,13:00,30,30,157,Cancelada
22,Tratamiento de sarna,2024-07-09,14:00,45,190,191,Completada
23,Limpieza dental,2024-07-15,09:00,45,80,173,Cancelada
24,Corte de uñas,2024-09-23,11:00,15,15,175,Cancelada
25,Corte de uñas,2024-10-26,09:00,15,15,112,Completada
26,Limpieza dental,2024-09-14,16:00,45,80,138,Completada
27,Corte de uñas,2024-08-06,11:00,15,15,112,Cancelada
28,Baño para perros,2024-11-12,12:00,30,30,134,Cancelada
29,Corte de uñas,2024-08-31,16:00,15,15,201,Completada
30,Spa,2024-07-02,12:00,60,230,175,Completada
31,Corte de pelo,2024-09-06,13:00,60,50,117,Completada
32,Corte de pelo,2024-08-14,11:00,60,50,105,Completada
33,Tratamiento de sarna,2024-10-22,15:00,45,190,149,Completada
34,Spa,2024-09-18,12:00,60,230,116,Cancelada
35,Corte de uñas,2024-09-08,12:00,15,15,152,Completada
36,Baño para perros,2024-09-03,09:00,30,30,196,Completada
37,Baño para perros,2024-10-26,12:00,30,30,116,Cancelada
38,Spa,2024-09-24,13:00,60,230,213,Completada
39,Baño para perros,2024-08-14,12:00,30,30,206,Completada
40,Baño para perros,2024-07-16,14:00,30,30,106,Completada
41,Limpieza dental,2024-11-16,09:00,45,80,128,Cancelada
42,Tratamiento de sarna,2024-10-13,14:00,45,190,220,Completada
43,Corte de uñas,2024-08-26,09:00,15,15,103,Cancelada
44,Limpieza dental,2024-10-25,14:00,45,80,208,Cancelada
45,Corte de uñas,2024-10-16,15:00,15,15,146,Completada
46,Corte de pelo,2024-09-11,16:00,60,50,182,Cancelada
47,Corte de pelo,2024-07-19,13:00,60,50,207,Cancelada
48,Baño para perros,2024-10-29,11:00,30,30,128,Cancelada
49,Limpieza dental,2024-07-16,15:00,45,80,207,Completada
50,Spa,2024-10-23,11:00,60,230,212,Completada
51,Corte de pelo,2024-08-11,13:00,60,50,177,Cancelada
52,Limpieza dental,2024-07-15,13:00,45,80,113,Cancelada
53,Tratamiento de sarna,2024-08-06,15:00,45,190,151,Completada
54,Corte de pelo,2024-09-16,09:00,60,50,214,Completada
55,Limpieza dental,2024-07-24,10:00,45,80,110,Completada
56,Limpieza dental,2024-10-07,14:00,45,80,168,Cancelada
57,Corte de pelo,2024-11-04,13:00,60,50,197,Cancelada
58,Baño para perros,2024-09-03,10:00,30,30,166,Cancelada
59,Corte de pelo,2024-07-11,15:00,60,50,182,Completada
60,Baño para perros,2024-11-06,13:00,30,30,189,Completada
61,Tratamiento de sarna,2024-10-24,12:00,45,190,125,Completada
62,Baño para perros,2024-10-26,13:00,30,30,198,Cancelada
63,Baño para perros,2024-10-16,13:00,30,30,190,Completada
64,Corte de pelo,2024-08-30,12:00,60,50,131,Cancelada
65,Corte de pelo,2024-08-01,09:00,60,50,205,Completada
66,Spa,2024-07-18,14:00,60,230,177,Cancelada
67,Corte de uñas,2024-09-16,10:00,15,15,214,Completada
68,Spa,2024-11-09,09:00,60,230,130,Completada
69,Baño para perros,2024-07-10,16:00,30,30,154,Completada
70,Baño para perros,2024-10-13,13:00,30,30,121,Cancelada
71,Limpieza dental,2024-08-06,16:00,45,80,215,Cancelada
72,Limpieza dental,2024-10-26,16:00,45,80,103,Completada
73,Limpieza dental,2024-11-13,09:00,45,80,144,Cancelada
74,Corte de uñas,2024-11-14,13:00,15,15,220,Completada
75,Corte de uñas,2024-10-07,13:00,15,15,114,Cancelada
76,Corte de pelo,2024-10-11,15:00,60,50,211,Completada
77,Corte de pelo,2024-09-12,09:00,60,50,192,Cancelada
78,Limpieza dental,2024-08-04,12:00,45,80,214,Cancelada
79,Tratamiento de sarna,2024-08-28,14:00,45,190,209,Completada
80,Tratamiento de sarna,2024-11-12,14:00,45,190,140,Cancelada
81,Corte de uñas,2024-07-06,11:00,15,15,133,Cancelada
82,Corte de uñas,2024-08-21,15:00,15,15,136,Completada
83,Baño para perros,2024-09-27,10:00,30,30,185,Completada
84,Limpieza dental,2024-07-05,12:00,45,80,145,Cancelada
85,Corte de pelo,2024-10-18,16:00,60,50,217,Completada
86,Limpieza dental,2024-09-22,16:00,45,80,203,Completada
87,Corte de uñas,2024-09-06,16:00,15,15,218,Cancelada
88,Corte de uñas,2024-09-06,12:00,15,15,183,Completada
89,Limpieza dental,2024-10-14,15:00,45,80,159,Completada
90,Corte de pelo,2024-07-08,13:00,60,50,168,Cancelada
91,Tratamiento de sarna,2024-10-07,10:00,45,190,152,Completada
92,Baño para perros,2024-08-10,12:00,30,30,138,Completada
93,Corte de pelo,2024-08-06,14:00,60,50,119,Cancelada
94,Tratamiento de sarna,2024-07-04,11:00,45,190,160,Completada
95,Spa,2024-09-19,11:00,60,230,147,Completada
96,Tratamiento de sarna,2024-07-20,11:00,45,190,132,Completada
97,Spa,2024-07-20,09:00,60,230,150,Completada
98,Limpieza dental,2024-07-26,10:00,45,80,155,Cancelada
99,Baño para perros,2024-11-14,10:00,30,30,157,Cancelada
100,Limpieza dental,2024-09-11,12:00,45,80,196,Cancelada
101,Corte de pelo,2024-10-13,11:00,60,50,193,Completada
102,Corte de uñas,2024-08-02,13:00,15,15,213,Completada
103,Tratamiento de sarna,2024-10-19,15:00,45,190,127,Completada
104,Spa,2024-08-03,14:00,60,230,142,Completada
105,Baño para perros,2024-11-12,12:00,30,30,177,Completada
106,Baño para perros,2024-10-18,13:00,30,30,113,Completada
107,Tratamiento de sarna,2024-11-08,09:00,45,190,158,Completada
108,Spa,2024-09-28,14:00,60,230,206,Completada
109,Spa,2024-08-17,13:00,60,230,212,Completada
110,Limpieza dental,2024-09-02,10:00,45,80,168,Completada
111,Baño para perros,2024-11-12,10:00,30,30,110,Completada
112,Corte de uñas,2024-10-30,14:00,15,15,116,Completada
113,Spa,2024-09-18,10:00,60,230,156,Cancelada
114,Limpieza dental,2024-08-04,09:00,45,80,141,Cancelada
115,Tratamiento de sarna,2024-09-05,16:00,45,190,161,Completada
116,Limpieza dental,2024-07-26,16:00,45,80,115,Completada
117,Spa,2024-09-24,10:00,60,230,159,Cancelada
118,Corte de uñas,2024-07-11,15:00,15,15,190,Completada
119,Limpieza dental,2024-10-04,13:00,45,80,105,Completada
120,Spa,2024-11-06,14:00,60,230,137,Completada
121,Corte de uñas,2024-07-19,12:00,15,15,151,Completada
122,Limpieza dental,2024-08-06,14:00,45,80,166,Cancelada
123,Tratamiento de sarna,2024-08-26,13:00,45,190,186,Cancelada
124,Baño para perros,2024-09-27,09:00,30,30,211,Completada
125,Corte de pelo,2024-09-16,14:00,60,50,190,Completada
126,Baño para perros,2024-10-03,10:00,30,30,199,Completada
127,Corte de pelo,2024-09-20,09:00,60,50,178,Cancelada
128,Corte de pelo,2024-08-06,15:00,60,50,161,Cancelada
129,Baño para perros,2024-10-03,12:00,30,30,103,Cancelada
130,Spa,2024-07-14,15:00,60,230,141,Completada
131,Corte de pelo,2024-10-06,12:00,60,50,101,Completada
132,Baño para perros,2024-07-30,15:00,30,30,187,Completada
133,Corte de uñas,2024-07-17,14:00,15,15,159,Cancelada
134,Spa,2024-07-05,15:00,60,230,212,Completada
135,Corte de uñas,2024-08-17,10:00,15,15,143,Completada
136,Corte de pelo,2024-09-01,13:00,60,50,206,Completada
137,Tratamiento de sarna,2024-09-17,13:00,45,190,206,Cancelada
138,Limpieza dental,2024-10-08,12:00,45,80,110,Cancelada
139,Baño para perros,2024-07-06,09:00,30,30,127,Cancelada
140,Baño para perros,2024-09-06,16:00,30,30,130,Cancelada
141,Limpieza dental,2024-10-25,10:00,45,80,209,Cancelada
142,Baño para perros,2024-09-29,14:00,30,30,189,Completada
143,Corte de pelo,2024-08-08,10:00,60,50,200,Completada
144,Limpieza dental,2024-08-22,10:00,45,80,135,Completada
145,Limpieza dental,2024-07-15,12:00,45,80,161,Completada
146,Corte de uñas,2024-09-04,10:00,15,15,102,Completada
147,Corte de pelo,2024-07-28,13:00,60,50,149,Completada
148,Baño para perros,2024-09-10,10:00,30,30,155,Cancelada
149,Limpieza dental,2024-09-09,13:00,45,80,103,Completada
150,Baño para perros,2024-07-02,10:00,30,30,192,Cancelada
151,Limpieza dental,2024-11-01,14:00,45,80,204,Cancelada
152,Corte de uñas,2024-07-28,13:00,15,15,133,Completada
153,Corte de pelo,2024-07-03,13:00,60,50,155,Completada
154,Limpieza dental,2024-08-15,16:00,45,80,166,Completada
155,Corte de uñas,2024-07-14,10:00,15,15,180,Completada
156,Baño para perros,2024-07-18,15:00,30,30,162,Cancelada
157,Baño para perros,2024-10-13,13:00,30,30,184,Completada
158,Tratamiento de sarna,2024-10-23,15:00,45,190,160,Completada
159,Corte de uñas,2024-08-18,12:00,15,15,142,Completada
160,Baño para perros,2024-09-17,11:00,30,30,191,Completada
161,Corte de uñas,2024-09-21,09:00,15,15,178,Cancelada
162,Spa,2024-11-10,12:00,60,230,173,Completada
163,Corte de pelo,2024-07-15,09:00,60,50,193,Completada
164,Limpieza dental,2024-10-13,09:00,45,80,139,Completada
165,Spa,2024-09-21,15:00,60,230,159,Cancelada
166,Tratamiento de sarna,2024-11-14,10:00,45,190,125,Completada
167,Spa,2024-07-18,16:00,60,230,219,Completada
168,Baño para perros,2024-10-06,15:00,30,30,192,Cancelada
169,Spa,2024-09-05,14:00,60,230,177,Cancelada
170,Spa,2024-08-15,16:00,60,230,201,Cancelada
171,Corte de pelo,2024-10-22,12:00,60,50,213,Cancelada
172,Corte de pelo,2024-10-03,12:00,60,50,134,Completada
173,Spa,2024-09-17,15:00,60,230,122,Completada
174,Corte de uñas,2024-08-21,15:00,15,15,170,Cancelada
175,Baño para perros,2024-10-12,09:00,30,30,197,Completada
176,Baño para perros,2024-11-16,11:00,30,30,115,Cancelada
177,Corte de pelo,2024-08-03,15:00,60,50,184,Completada
178,Tratamiento de sarna,2024-09-29,11:00,45,190,101,Completada
179,Baño para perros,2024-10-14,13:00,30,30,185,Completada
180,Corte de uñas,2024-09-22,10:00,15,15,127,Cancelada
181,Baño para perros,2024-10-23,11:00,30,30,135,Cancelada
182,Limpieza dental,2024-10-13,09:00,45,80,125,Cancelada
183,Baño para perros,2024-07-12,12:00,30,30,121,Completada
184,Tratamiento de sarna,2024-10-17,10:00,45,190,159,Cancelada
185,Spa,2024-11-12,16:00,60,230,126,Cancelada
186,Spa,2024-09-24,15:00,60,230,154,Cancelada
187,Tratamiento de sarna,2024-07-28,16:00,45,190,163,Completada
188,Spa,2024-10-05,14:00,60,230,183,Completada
189,Tratamiento de sarna,2024-10-25,12:00,45,190,103,Cancelada
190,Tratamiento de sarna,2024-09-08,13:00,45,190,219,Cancelada
191,Tratamiento de sarna,2024-08-05,09:00,45,190,130,Cancelada
192,Limpieza dental,2024-09-10,10:00,45,80,184,Cancelada
193,Spa,2024-10-27,09:00,60,230,188,Cancelada
194,Limpieza dental,2024-08-31,09:00,45,80,116,Cancelada
195,Corte de pelo,2024-09-27,16:00,60,50,110,Completada
196,Corte de uñas,2024-07-20,13:00,15,15,158,Completada
197,Corte de pelo,2024-10-23,12:00,60,50,153,Cancelada
198,Baño para perros,2024-09-30,09:00,30,30,117,Cancelada
199,Tratamiento de sarna,2024-08-09,09:00,45,190,185,Completada
200,Tratamiento de sarna,2024-11-09,15:00,45,190,189,Cancelada
201,Corte de uñas,2024-08-23,10:00,15,15,160,Completada
202,Limpieza dental,2024-10-06,12:00,45,80,162,Cancelada
203,Corte de pelo,2024-08-07,12:00,60,50,131,Completada
204,Tratamiento de sarna,2024-07-10,10:00,45,190,136,Cancelada
205,Corte de pelo,2024-09-20,13:00,60,50,196,Cancelada
206,Limpieza dental,2024-07-14,13:00,45,80,167,Completada
207,Baño para perros,2024-10-12,13:00,30,30,129,Cancelada
208,Baño para perros,2024-08-01,13:00,30,30,102,Cancelada
209,Limpieza dental,2024-08-20,13:00,45,80,153,Cancelada
210,Limpieza dental,2024-08-06,10:00,45,80,210,Completada
